0.222,0.625,0.068,0.042,1
0.167,0.417,0.068,0.042,1
0.111,0.500,0.051,0.042,1
0.083,0.458,0.085,0.042,1
0.194,0.667,0.068,0.042,1
0.306,0.792,0.119,0.125,1
0.083,0.583,0.068,0.083,1
0.194,0.583,0.085,0.042,1
0.028,0.375,0.068,0.042,1
0.167,0.458,0.085,0.000,1
0.139,0.583,0.102,0.042,1
0.139,0.417,0.068,0.000,1
0.000,0.417,0.017,0.000,1
0.417,0.833,0.034,0.042,1
0.389,1.000,0.085,0.125,1
0.306,0.792,0.051,0.125,1
0.222,0.625,0.068,0.083,1
0.389,0.750,0.119,0.083,1
0.222,0.750,0.085,0.083,1
0.306,0.583,0.119,0.042,1
0.222,0.708,0.085,0.125,1
0.083,0.667,0.000,0.042,1
0.222,0.542,0.119,0.167,1
0.139,0.583,0.153,0.042,1
0.194,0.417,0.102,0.042,1
0.194,0.583,0.102,0.125,1
0.250,0.625,0.085,0.042,1
0.250,0.583,0.068,0.042,1
0.111,0.500,0.102,0.042,1
0.139,0.458,0.102,0.042,1
0.306,0.583,0.085,0.125,1
0.250,0.875,0.085,0.000,1
0.333,0.917,0.068,0.042,1
0.167,0.458,0.085,0.000,1
0.194,0.500,0.034,0.042,1
0.333,0.625,0.051,0.042,1
0.167,0.458,0.085,0.000,1
0.028,0.417,0.051,0.042,1
0.222,0.583,0.085,0.042,1
0.194,0.625,0.051,0.083,1
0.056,0.125,0.051,0.083,1
0.028,0.500,0.051,0.042,1
0.194,0.625,0.102,0.208,1
0.222,0.750,0.153,0.125,1
0.139,0.417,0.068,0.083,1
0.222,0.750,0.102,0.042,1
0.083,0.500,0.068,0.042,1
0.278,0.708,0.085,0.042,1
0.194,0.542,0.068,0.042,1
0.750,0.500,0.627,0.542,0
0.583,0.500,0.593,0.583,0
0.722,0.458,0.661,0.583,0
0.333,0.125,0.508,0.500,0
0.611,0.333,0.610,0.583,0
0.389,0.333,0.593,0.500,0
0.556,0.542,0.627,0.625,0
0.167,0.167,0.390,0.375,0
0.639,0.375,0.610,0.500,0
0.194,0.000,0.424,0.375,0
0.444,0.417,0.542,0.583,0
0.472,0.083,0.508,0.375,0
0.500,0.375,0.627,0.542,0
0.361,0.375,0.441,0.500,0
0.667,0.458,0.576,0.542,0
0.361,0.417,0.593,0.583,0
0.417,0.292,0.525,0.375,0
0.528,0.083,0.593,0.583,0
0.361,0.208,0.492,0.417,0
0.444,0.500,0.644,0.708,0
0.556,0.208,0.661,0.583,0
0.500,0.333,0.627,0.458,0
0.583,0.375,0.559,0.500,0
0.639,0.417,0.576,0.542,0
0.667,0.417,0.678,0.667,0
0.472,0.375,0.593,0.583,0
0.389,0.250,0.424,0.375,0
0.333,0.167,0.475,0.417,0
0.417,0.292,0.492,0.458,0
0.500,0.417,0.661,0.708,0
0.583,0.333,0.780,0.833,0
0.806,0.417,0.814,0.625,0
0.861,0.333,0.864,0.750,0
1.000,0.750,0.915,0.792,0
0.556,0.333,0.695,0.583,0
0.500,0.250,0.780,0.542,0
0.944,0.417,0.864,0.917,0
0.556,0.583,0.780,0.958,0
0.583,0.458,0.763,0.708,0
0.472,0.417,0.644,0.708,0
0.722,0.458,0.746,0.833,0
0.667,0.458,0.780,0.958,0
0.722,0.458,0.695,0.917,0
0.694,0.500,0.831,0.917,0
0.667,0.542,0.797,1.000,0
0.667,0.417,0.712,0.917,0
0.556,0.208,0.678,0.750,0
0.611,0.417,0.712,0.792,0
0.528,0.583,0.746,0.917,0
0.444,0.417,0.695,0.708,0
